sku,path,I_rms_A,material,W×T_mm,A_mm2,J_A/mm2,R_uOhm,P_W,dT_C,L_nH,mass_kg,cost_INR,alt_Al_verdict,note
30kw,"AC L1/L2/L3 (each)",54.9,Cu,10×2,20,2.75,256,0.8,5,211,0.044,68,"Cu mandated","EMI zone: keep short, no Al joints in filter loop"
30kw,"DC+ (PFC→studs→LLC)",39,Cu,9×2,18,2.17,342,0.5,3,270,0.048,73,"Cu mandated","commutation-adjacent: low-L laminated with DC− (§34)"
30kw,"DC− return",39,Cu,9×2,18,2.17,342,0.5,3,270,0.048,73,"Cu mandated","laminated pair with DC+"
30kw,"MIDPOINT (AC-DC board only)",19.215,Cu,9×2,18,1.07,205,0.1,1,144,0.029,44,"Al viable, saves ₹24 (bimetal joint reqd)","carries lane ripple only"
30kw,"OUT+ (banks→relays→stud)",100,Cu,13×3,39,2.56,158,1.6,7,247,0.104,158,"Al viable, saves ₹120 (bimetal joint reqd)","1000 V creepage to chassis 6.3 mm"
30kw,"OUT− (shunt path)",100,Cu,13×3,39,2.56,158,1.6,7,247,0.104,158,"Cu mandated","Kelvin taps at shunt; no joints between shunt and stud"
30kw,"B2B stud pillar (each of DCP/DCN)",39,Cu,9×2,18,2.17,34,0.1,3,13,0.005,7,"Al not worth joint cost","M8, torque 12 N·m, <50 µΩ joint (EOL)"
40kw,"AC L1/L2/L3 (each)",73.2,Cu,12×3,36,2.03,142,0.8,4,200,0.08,122,"Cu mandated","EMI zone: keep short, no Al joints in filter loop"
40kw,"DC+ (PFC→studs→LLC)",52,Cu,10×2,20,2.6,308,0.8,5,265,0.053,81,"Cu mandated","commutation-adjacent: low-L laminated with DC− (§34)"
40kw,"DC− return",52,Cu,10×2,20,2.6,308,0.8,5,265,0.053,81,"Cu mandated","laminated pair with DC+"
40kw,"MIDPOINT (AC-DC board only)",25.62,Cu,9×2,18,1.42,205,0.1,1,144,0.029,44,"Al viable, saves ₹23 (bimetal joint reqd)","carries lane ripple only"
40kw,"OUT+ (banks→relays→stud)",133,Cu,15×3,45,2.96,137,2.4,9,240,0.12,183,"Al viable, saves ₹138 (bimetal joint reqd)","1000 V creepage to chassis 6.3 mm"
40kw,"OUT− (shunt path)",133,Cu,15×3,45,2.96,137,2.4,9,240,0.12,183,"Cu mandated","Kelvin taps at shunt; no joints between shunt and stud"
40kw,"B2B stud pillar (each of DCP/DCN)",52,Cu,10×2,20,2.6,31,0.1,5,13,0.005,8,"Al not worth joint cost","M8, torque 12 N·m, <50 µΩ joint (EOL)"
50kw,"AC L1/L2/L3 (each)",91.6,Cu,13×3,39,2.35,131,1.1,6,197,0.087,132,"Cu mandated","EMI zone: keep short, no Al joints in filter loop"
50kw,"DC+ (PFC→studs→LLC)",65,Cu,11×2,22,2.95,280,1.2,6,260,0.059,89,"Cu mandated","commutation-adjacent: low-L laminated with DC− (§34)"
50kw,"DC− return",65,Cu,11×2,22,2.95,280,1.2,6,260,0.059,89,"Cu mandated","laminated pair with DC+"
50kw,"MIDPOINT (AC-DC board only)",32.059999999999995,Cu,9×2,18,1.78,205,0.2,2,144,0.029,44,"Al viable, saves ₹22 (bimetal joint reqd)","carries lane ripple only"
50kw,"OUT+ (banks→relays→stud)",167,Cu,17×4,68,2.46,90,2.5,8,231,0.182,276,"Al viable, saves ₹225 (bimetal joint reqd)","1000 V creepage to chassis 6.3 mm"
50kw,"OUT− (shunt path)",167,Cu,17×4,68,2.46,90,2.5,8,231,0.182,276,"Cu mandated","Kelvin taps at shunt; no joints between shunt and stud"
50kw,"B2B stud pillar (each of DCP/DCN)",65,Cu,11×2,22,2.95,28,0.1,6,12,0.006,9,"Al not worth joint cost","M8, torque 12 N·m, <50 µΩ joint (EOL)"
