# parallel-closure mismatch study; 30kw: 9 × 2.2 µF FILM-ONLY bank = 19.8 µF/bank
# relay 300 A make (HF161F/CHC-D120 class, RFQ) + 2 mΩ contact; loop inductance swept 50/150/300 nH
# FW-42 permit |ΔV| ≤ 25 V needs loop L ≥ 69 nH — current-coordination [SP] gates that
# weld detection: 10 A on one bank → dV/dt 505.1 kV/s → 1.5 V in 3 µs
dV_V,loop_nH,Ipk_A,I2t_A2s,t_settle_ms,verdict_vs_make
2,50,28,0.01,1.17,OK
5,50,69,0.06,1.21,OK
10,50,138,0.24,1.24,OK
20,50,275,0.962,1.28,OK
25,50,344,1.503,1.29,EXCEEDS make rating
2,150,16,0.01,1.3,OK
5,150,40,0.061,1.44,OK
10,150,80,0.245,1.54,OK
20,150,160,0.98,1.65,OK
25,150,200,1.531,1.68,OK
2,300,11,0.01,1.51,OK
5,300,28,0.062,1.78,OK
10,300,57,0.246,1.99,OK
20,300,114,0.984,2.2,OK
25,300,142,1.538,2.27,OK
