mpn,lcsc,lcsc_status,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,unit_10k,ext_1k_INR,ext_10k_INR,sample_refs
ELH-470u450,,CLASS,Aishi,"470 µF 450 V snap-in 105 °C, −40 °C category (A11 rev C cold floor −30 °C) (split bus: 415 V max per half)","ChengX/Nichicon",acdc+dcdc,32,202.5,150,132,120,4800,3840,CDT00 CDT01 CDT02 CDT03 CDT04 CDB00 CDB01 CDB02 CDB03 CDB04 CDT10 CDT11
SG2M023120LJ,C5713523,SECOND-SOURCE,SiChain,"SiC MOSFET 1200 V 23 mΩ TO-247-4L (E44: the air-50 parallels a second per position — Q#H2/L2)","BASiC B3M020120ZL",dcdc,12,526.5,390,343.2,312,4680,3744,Q1H Q1L Q1H2 Q1L2 Q2H Q2L Q2H2 Q2L2 Q3H Q3L Q3H2 Q3L2
B3M010C075Z,C5713521,SECOND-SOURCE,BASiC,"SiC MOSFET 750 V 10 mΩ TO-247-4","SiChain 750V/10mΩ (RFQ)",acdc,12,445.5,330,290.4,264,3960,3168,QA0A2 QA0B2 QA0A QA0B QB0A2 QB0B2 QB0A QB0B QC0A2 QC0B2 QC0A QC0B
C4D20120D,C5713501,ORDERABLE,SiChain,"SiC JBS 1200 V 20 A TO-247-2 (secondary bridge)","CR Micro 1200V/20A",dcdc,24,121.5,90,79.2,72,2160,1728,D1A1 D1A2 D1A3 D1A4 D1B1 D1B2 D1B3 D1B4 D2A1 D2A2 D2A3 D2A4
IND-PFC-107u-50,,CUSTOM,custom (docs/magnetics.md D1 rev B),"PFC choke 165 µH class, 3× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=39, 3×(6×1 mm) flat Cu 18 mm² (audit F4: the rev-A 13.75 mm²/N=36 failed its own Rdc and L lines against the real core) [D1-50 rev B: 5x T79 26u CATALOG core, N=24 +/-1 lot-trim (E51)]","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LA0
IND-PFC-107u-50,,CUSTOM,custom (docs/magnetics.md D1 rev B),"PFC choke 165 µH class, 3× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=39, 3×(6×1 mm) flat Cu 18 mm² (audit F4: the rev-A 13.75 mm²/N=36 failed its own Rdc and L lines against the real core)","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LB0
IND-PFC-107u-50,,CUSTOM,custom (docs/magnetics.md D1 rev B),"PFC choke 165 µH class, 3× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=39, 3×(6×1 mm) flat Cu 18 mm² (audit F4: the rev-A 13.75 mm²/N=36 failed its own Rdc and L lines against the real core)","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LC0
QA01C-18,,REVIEW,MORNSUN,"iso gate-bias module +18/−4-configured (E23 rev B: modules PERMANENT — at 10k modules/yr (~90k+ pcs aggregated) module pricing ≤₹55 makes the custom-transformer ECO-1 net ≈ ₹0 with added EMC/mfg risk → ECO-1 RETIRED; O-11: drawn P18/COM/N4 dual-rail vs single-out suffix — the −4 V zener-split or a true dual-rail p/n MUST be resolved at §K, E5/E6 off-bias depends on it; R5-F: DC input 13.5–16.5 V vs V15 ≈15.0 V off the regulated 15.65 V aux — inside range, cross-regulation re-verify at EVT)","domestic iso-module eq (2nd source at RFQ)",acdc+dcdc,9,128.3,95,83.6,55,855,495,PSA0G PSB0G PSC0G PS1H PS1L PS2H PS2L PS3H PS3L
XFMR-LLC-2E70-50,,CUSTOM,custom (D3),"LLC section transformer 3× PQ50/50 PC95, 7:7:7, Lm 63 µH ±7% (E7 rev D2) — E60 copper rev: secondaries Cu foil 0.10 x 28 mm (Dowell Fr 1.27; the E51 0.20 mm computed 5.3), primary litz 2475x0.071 mm (Fr 1.32) [D3-50 rev B (E51): 2x E70/33/32 sets on B66372B2000T001, 5:5:5, Bpk 109 mT (the registered 3-set route needs a former that DOES NOT EXIST and still demands ~1.2x its window; 2-set 5:5:5 fits at 91% with compacted litz + foil secondaries), Fe 24.4 W/section -> transformer clamp bonds to the coldplate/extrusion web (E42/E44 magnetics-bond practice), leakage engineered 3 +/-0.7 uH — E60 copper rev: secondaries Cu foil 0.127 x 28 mm (Dowell-optimum; the E51 foil computed Rac/Rdc 5-7 vs the 1.35 row), primary litz 4370x0.071 mm (same area, Fr 1.3)]","PQ65 single-core variant",dcdc,1,1147.5,850,748,680,850,680,T1
XFMR-LLC-2E70-50,,CUSTOM,custom (D3),"LLC section transformer 3× PQ50/50 PC95, 7:7:7, Lm 63 µH ±7% (E7 rev D2) — E60 copper rev: secondaries Cu foil 0.10 x 28 mm (Dowell Fr 1.27; the E51 0.20 mm computed 5.3), primary litz 2475x0.071 mm (Fr 1.32)","PQ65 single-core variant",dcdc,1,1147.5,850,748,680,850,680,T2
XFMR-LLC-2E70-50,,CUSTOM,custom (D3),"LLC section transformer 3× PQ50/50 PC95, 7:7:7, Lm 63 µH ±7% (E7 rev D2) — E60 copper rev: secondaries Cu foil 0.10 x 28 mm (Dowell Fr 1.27; the E51 0.20 mm computed 5.3), primary litz 2475x0.071 mm (Fr 1.32)","PQ65 single-core variant",dcdc,1,1147.5,850,748,680,850,680,T3
NSI6611,C7470934,ORDERABLE,NOVOSENSE,"iso gate driver 10 A, DESAT/Miller(CLAMP wired, CB-12)/UVLO, SOIC-16","NSI6602B",acdc+dcdc,9,114.8,85,74.8,68,765,612,UA0G UB0G UC0G U1H U1L U2H U2L U3H U3L
GC4D20120D,C7435099,ORDERABLE,SiChain,"SiC JBS 1200 V 40 A TO-247-2 (exact p/n at RFQ)","BASiC B3D040120H",acdc,6,162,120,105.6,96,720,576,DA0T DA0B DB0T DB0B DC0T DC0B
DM-CHOKE-50,,CUSTOM,custom/POCO (D6 rev C — ENGINE-designed, dm-choke-design.mjs),"DM line choke, 60µ sendust stack, crest-biased L(Ipk) meets the per-variant LISN floor (E43: the inherited 22 µH could not exist at the crest on the drawn core — 7–8 µH at 82 A pk computed vs the 15 µH floor; engine rows: 30 kW 2×T48 N=7 foil 20 mm², 40 kW 2×T57 N=8 26.4 mm², 50 kW 3×T57 N=8 26.4 mm²) [D6-50 rev C: 3x T57 60u N=8, 26.4 mm2 — 12.9 uH @136 A pk (floor 11.4), 8.1 W [engine]]","DMEGC/Chang Sung eq cores",acdc,1,850.5,630,554.4,504,630,504,LDM1
DM-CHOKE-50,,CUSTOM,custom/POCO (D6 rev C — ENGINE-designed, dm-choke-design.mjs),"DM line choke, 60µ sendust stack, crest-biased L(Ipk) meets the per-variant LISN floor (E43: the inherited 22 µH could not exist at the crest on the drawn core — 7–8 µH at 82 A pk computed vs the 15 µH floor; engine rows: 30 kW 2×T48 N=7 foil 20 mm², 40 kW 2×T57 N=8 26.4 mm², 50 kW 3×T57 N=8 26.4 mm²)","DMEGC/Chang Sung eq cores",acdc,1,850.5,630,554.4,504,630,504,LDM2
DM-CHOKE-50,,CUSTOM,custom/POCO (D6 rev C — ENGINE-designed, dm-choke-design.mjs),"DM line choke, 60µ sendust stack, crest-biased L(Ipk) meets the per-variant LISN floor (E43: the inherited 22 µH could not exist at the crest on the drawn core — 7–8 µH at 82 A pk computed vs the 15 µH floor; engine rows: 30 kW 2×T48 N=7 foil 20 mm², 40 kW 2×T57 N=8 26.4 mm², 50 kW 3×T57 N=8 26.4 mm²)","DMEGC/Chang Sung eq cores",acdc,1,850.5,630,554.4,504,630,504,LDM3
HFE82V-20W/1000-24-HA-C5-1 (confirm frame),,DIRECT,Hongfa,"HV DC relay 20 A 1000 VDC w/ auxiliary contact (pre-insertion) — was HFE9, see R8","Panasonic AEV / TE EVC",dcdc,2,405,300,264,240,600,480,KPREA KPREB
AMC1311DWVR,C456277,ORDERABLE,TI/NOVOSENSE,"iso voltage-sense amp 0–2 V input (bus/bank/output senses, E25/CB-3; R4 note: on the 1311 class the symbol's pin-3 'VINN' is physically SHTDN — grounded = enabled, netlist correct, label carried from the shared iso-amp table)","NSI1311 class",acdc+dcdc,5,155.3,115,101.2,92,575,460,UIVBP UIVBM UIVOA UIVOB UIVOV
ISO5V-RFC-6K,C20613048,REVIEW,MORNSUN QA/URB-grade,"iso 15→5 V reinforced-rated (iso-sense floating bias, E25/HR-16 — same barrier argument per domain: AC star / DCN / BKAN / BKBN)","RECOM RxxP-R / certified eq",acdc+dcdc,6,128.3,95,83.6,65,570,390,PS5AC PS5BUS PSSH PS5BKA PS5BKB PSCAN
HF167F-250A-M,,REVIEW,Hongfa,"power relay ≥80 A/line w/ mirror contact (precharge bypass carries full line current — CB-8; SKU class via override; MR-25: contact-gap withstand & insulation group at the 475 VAC system + ~660 V pk precharge transient = §K line) [250 A class (91.6 A line = 37%)]","TE T9G / contactor option",acdc,1,702,520,457.6,416,520,416,KPRE1
HF167F-250A-M,,REVIEW,Hongfa,"power relay ≥80 A/line w/ mirror contact (precharge bypass carries full line current — CB-8; SKU class via override; MR-25: contact-gap withstand & insulation group at the 475 VAC system + ~660 V pk precharge transient = §K line)","TE T9G / contactor option",acdc,1,702,520,457.6,416,520,416,KPRE2
HFE82V-<rating>W/1000-24-HA-C5-1,,DIRECT,Hongfa,"HV DC relay 1000 V w/ mirror contact (E30 readback; current class per SKU; *2 = 120 kW paralleled pair, HR-19 — contact-R matched at assembly or 250 A-class, §K)","GIGAVAC eq",dcdc,1,621,460,404.8,368,460,368,KSER
HFE82V-<rating>W/1000-24-HA-C5-1,,DIRECT,Hongfa,"HV DC relay 1000 V w/ mirror contact (E30 readback; current class per SKU; *2 = 120 kW paralleled pair, HR-19 — contact-R matched at assembly or 250 A-class, §K)","GIGAVAC eq",dcdc,1,621,460,404.8,368,460,368,KPARA
HFE82V-<rating>W/1000-24-HA-C5-1,,DIRECT,Hongfa,"HV DC relay 1000 V w/ mirror contact (E30 readback; current class per SKU; *2 = 120 kW paralleled pair, HR-19 — contact-R matched at assembly or 250 A-class, §K)","GIGAVAC eq",dcdc,1,621,460,404.8,368,460,368,KPARB
HFE82V-<rating>W/1000-24-HA-C5-1,,DIRECT,Hongfa,"HV DC relay 1000 V w/ mirror contact (E30 readback; current class per SKU; *2 = 120 kW paralleled pair, HR-19 — contact-R matched at assembly or 250 A-class, §K) [2x 200 A paralleled (dual instance, E42)]","GIGAVAC eq",dcdc,1,621,460,404.8,368,460,368,KOUT
HFE82V-<rating>W/1000-24-HA-C5-1,,DIRECT,Hongfa,"HV DC relay 1000 V w/ mirror contact (E30 readback; current class per SKU; *2 = 120 kW paralleled pair, HR-19 — contact-R matched at assembly or 250 A-class, §K)","GIGAVAC eq",dcdc,1,621,460,404.8,368,460,368,KOUT2
AMC1350QDWVRQ1,C5214206,ORDERABLE,TI/NOVOSENSE,"iso voltage-sense amp ±5 V input (AC phase sense vs artificial star, E25)","NSI1300 class",acdc,3,182.3,135,118.8,108,405,324,UIVV1 UIVV2 UIVV3
IMW120R350M1H,C536285,ORDERABLE,CR Micro,"SiC FET 1200 V 5 A (bus discharge QDISF / bank bleeders QDISA-B, HR-15; R7-B/R8 gate spec for the PV-driven bleeders: Vth(max) ≤ 3.5 V, Igss ≤ 100 nA. The 6.8 MΩ load-line figure (≈5.8 V after leakage) is a 25 °C-ENDPOINT MODEL, not an all-temperature guarantee — VOM1271 Voc(typ) falls to ~5.4 V at 100 °C; declared bleed-interval local ambient ≤ 70 °C, and EVT loaded-Vgs/discharge measurement with the exact orderable FET gates the BOM freeze)","BASiC small 1200V",acdc+dcdc,3,162,120,105.6,96,360,288,QDISF QDISA QDISB
CMC-3PH-2mH-SKU,,CUSTOM,custom/Hongfa mag,"3-phase CM choke 2 mH nanocrystalline, line-current-rated winding per SKU (HR-18/D7). 30 kW: qualify Schaffner RT8131-63-2M8 (63 A/2.8 mH/600 VAC, 3-line nanocrystalline, Digi-Key) as catalog drop-in — audit; custom drawing stays the second source [D7-50 custom wind 95 A]","Schaffner RT8131-63-2M8 @30 kW",acdc,1,459,340,299.2,272,340,272,CMC1
CMC-3PH-2mH-SKU,,CUSTOM,custom/Hongfa mag,"3-phase CM choke 2 mH nanocrystalline, line-current-rated winding per SKU (HR-18/D7). 30 kW: qualify Schaffner RT8131-63-2M8 (63 A/2.8 mH/600 VAC, 3-line nanocrystalline, Digi-Key) as catalog drop-in — audit; custom drawing stays the second source","Schaffner RT8131-63-2M8 @30 kW",acdc,1,459,340,299.2,272,340,272,CMC2
PP-1u-1100,,CLASS,Faratronic,"1 µF 1100 V film (bus commutation/bank — HR-1: 830 V ≤ 76%)","Songtian",dcdc,5,91.8,68,59.8,54.4,340,272,CF0 CF1 CF2 CBAF CBBF
STUD-M8,,CLASS,local,"M8 stud terminal","M6 for signal PE",acdc+dcdc,12,37.8,28,24.6,22.4,336,269,JACL1 JACL2 JACL3 JPE JDCP JDCN JPEB JDCP JDCN JPEB JOUTP JOUTN
X1-4u7-530,,CLASS,Faratronic/Songtian,"X1 4.7 µF 530 VAC (E43: 3rd-DM-stage cap upsized 2.2→4.7 µF — attenuation is L·C and the cap is the cheap half; X-bleed τ 0.66 s ≤ 1 s through the RNS star)","Vishay 3386 X1 4.7µ",acdc,3,148.5,110,96.8,88,330,264,CX21 CX22 CX23
FUSE-gG-690V-160A,,CLASS,local/Bussmann,"gG fuse 690 VAC, 22×58 frame (rating per SKU — audit F6: 80 A @30 kW; the 63 A part ran 88% loaded at 55.9 A worst and NEGATIVE against the ~0.72× enclosed/+55 °C derate; holder must be the matching 22×58 base, NOT the 10×38 RT28-32)","SIBA",acdc,1,351,260,228.8,208,260,208,F1
FUSE-gG-690V-160A,,CLASS,local/Bussmann,"gG fuse 690 VAC, 22×58 frame (rating per SKU — audit F6: 80 A @30 kW; the 63 A part ran 88% loaded at 55.9 A worst and NEGATIVE against the ~0.72× enclosed/+55 °C derate; holder must be the matching 22×58 base, NOT the 10×38 RT28-32)","SIBA",acdc,1,351,260,228.8,208,260,208,F2
FUSE-gG-690V-160A,,CLASS,local/Bussmann,"gG fuse 690 VAC, 22×58 frame (rating per SKU — audit F6: 80 A @30 kW; the 63 A part ran 88% loaded at 55.9 A worst and NEGATIVE against the ~0.72× enclosed/+55 °C derate; holder must be the matching 22×58 base, NOT the 10×38 RT28-32)","SIBA",acdc,1,351,260,228.8,208,260,208,F3
PP-4u7-1200,,CLASS,Faratronic,"4.7 µF 1200 V film (output — HR-8: 1000 V = 83%)","—",dcdc,2,168.8,125,110,100,250,200,COF1 COF2
