# dpt-llc 30kw — ngspice-46, decks in spice/generated/dpt-llc-30kw-*.cir.
# kind=final is the RECOMMENDED network (LLC: Rg_off 0 + cs; PFC: exactly what cells.tsx draws); kind=sweep/sensitivity/
# control/drawn are informative and NOT gated. ONE die at the PER-POSITION current (see dpt-run.mjs current convention).
# Eoff_chan = CHANNEL dissipation: drain-node integral minus the device's datasheet Eoss at the settled voltage;
# the cs snubber sits at the package pins and bypasses the sense, and its charge is recovered at the ZVS turn-on.
# Eon_hard = the energy paid per transition IF ZVS does not complete. t_dead_req = n_die,leg*(Qoss(V)+cs*V)/I_toff.
# fingerprint: 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p | cs=330p | RgOn=4.7 RgOff=0 | Lloop=5nH | Voff=-3V | model=sic-1200-c3m.lib#07a229f69dac
# PASS = Vds_pk <= 85 % of 1200 V on REPETITIVE corners (at the 5 nH design loop), <= 90 % on the +6 %-bus row
#   (880 V is above the 860 V F.03 trip, so the bridge sees it only for the F.03 kill time), AND vgs in [-8,19] V AND vgs_fw_pk <= 1.4 V (hot MIN Vgs(th) of the 1200 V class, not the typical 25 C threshold)
# inputs 5b8a7036211d <- simulation-results/30kw/llc-stress.csv
case,kind,V,I_A,Cs_pF,Rg_off,Lloop_nH,Eoff_chan_uJ,koff_nJ_VA,Eon_hard_uJ,Vds_pk_V,Vds_pk_pct,dvdt_Vns,vgs_fw_pk_V,vgs_min_V,t_dead_req_ns,PASS,note
cs0-SER250-PFM,sweep,650,90.5,0,0,5,437.1,7.43,722,860.9,71.7,100.9,-2.53,-5.29,108,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
cs0-PS150-lead,sweep,725,100.9,0,0,5,695.8,9.51,934.1,997.3,83.1,133.5,-2.53,-5.61,108,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
cs0-PAR500-full,sweep,830,43.6,0,0,5,170.7,4.72,709.7,885.6,73.8,75.5,-2.53,-4.3,108,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
cs0-PAR500-pk,sweep,830,73,0,0,5,510.1,8.42,1001.4,1039.3,86.6,106.4,-2.53,-5.04,108,FAIL,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
cs150-SER250-PFM,sweep,650,90.5,150,0,5,255.9,4.35,818.6,852.3,71,88.2,-2.53,-5.21,139,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
cs150-PS150-lead,sweep,725,100.9,150,0,5,617.8,8.45,1063.9,991.8,82.7,116,-2.53,-5.59,139,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
cs150-PAR500-full,sweep,830,43.6,150,0,5,101.6,2.81,808.5,844.9,70.4,94.7,-2.54,-3.99,139,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
cs150-PAR500-pk,sweep,830,73,150,0,5,269.6,4.45,1123.3,986.6,82.2,72.6,-2.53,-4.98,139,PASS,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
final-cs330-SER250-PFM,final,650,90.5,330,0,5,184.8,3.14,812.5,779.2,64.9,52.6,-2.53,-5.14,177,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
final-cs330-PS150-lead,final,725,100.9,330,0,5,248.1,3.39,1061,875.6,73,65.3,-2.53,-5.19,177,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
