# dpt-llc 50kw — ngspice-46, decks in spice/generated/dpt-llc-50kw-*.cir.
# kind=final is the RECOMMENDED network (LLC: Rg_off 0 + cs; PFC: exactly what cells.tsx draws); kind=sweep/sensitivity/
# control/drawn are informative and NOT gated. ONE die at the PER-POSITION current (see dpt-run.mjs current convention).
# Eoff_chan = CHANNEL dissipation: drain-node integral minus the device's datasheet Eoss at the settled voltage;
# the cs snubber sits at the package pins and bypasses the sense, and its charge is recovered at the ZVS turn-on.
# Eon_hard = the energy paid per transition IF ZVS does not complete. t_dead_req = n_die,leg*(Qoss(V)+cs*V)/I_toff.
# fingerprint: 50kw:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p | cs=1000p | RgOn=4.7 RgOff=0 | Lloop=5nH | Voff=-3V | model=sic-1200-c3m.lib#07a229f69dac
# PASS = Vds_pk <= 85 % of 1200 V on REPETITIVE corners (E81: 85 % at the 5 nH design loop), <= 90 % on the +6 %-bus row
#   (880 V is above the 860 V F.03 trip, so the bridge sees it only for the F.03 kill time), AND vgs in [-8,19] V AND vgs_fw_pk <= 1.4 V (hot MIN Vgs(th) of the 1200 V class; the pre-E81 2.5 V line was the TYPICAL 25 C threshold)
case,kind,V,I_A,Cs_pF,Rg_off,Lloop_nH,Eoff_chan_uJ,koff_nJ_VA,Eon_hard_uJ,Vds_pk_V,Vds_pk_pct,dvdt_Vns,vgs_fw_pk_V,vgs_min_V,t_dead_req_ns,PASS,note
cs0-SER250-PFM,sweep,650,147.4,0,0,5,1061.3,11.08,1081.3,992.4,82.7,161.3,-2.52,-6.2,39,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
cs0-PS150-lead,sweep,725,162.8,0,0,5,1259.5,10.67,1419.9,1060.2,88.3,163.1,-2.52,-6.27,39,FAIL,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
cs0-PAR500-full,sweep,830,67.8,0,0,5,449.8,7.99,949.9,1023.1,85.3,98.1,-2.53,-4.89,39,FAIL,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
cs0-PAR500-pk,sweep,830,122.7,0,0,5,1044.5,10.26,1504.2,1116.3,93,144.1,-2.52,-5.82,39,FAIL,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
cs150-SER250-PFM,sweep,650,147.4,150,0,5,665.5,6.95,1213.5,914.5,76.2,112.4,-2.52,-5.98,51,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
cs150-PS150-lead,sweep,725,162.8,150,0,5,1190.9,10.09,1556.6,1073.6,89.5,150.1,-2.52,-6.39,51,FAIL,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
cs150-PAR500-full,sweep,830,67.8,150,0,5,229.4,4.08,1074,983.6,82,71.4,-2.53,-4.87,51,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
cs150-PAR500-pk,sweep,830,122.7,150,0,5,798,7.84,1616.3,1052.6,87.7,100.1,-2.52,-5.79,51,FAIL,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
cs330-SER250-PFM,sweep,650,147.4,330,0,5,753.9,7.87,1266.2,939.9,78.3,117.8,-2.53,-5.82,64,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
cs330-PS150-lead,sweep,725,162.8,330,0,5,884.7,7.5,1508.8,990.5,82.5,109.9,-2.52,-6.27,64,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
